text,emotionlist
I decided to sue them and I won.,"[u'joy', u'trust', u'surprise']"
Lim and Shorty got in a fight.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"Bruce interjected, trying to stop the fight.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He told them the next one to open their mouth would deal with him.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Bruce made them both shake hands.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
An uneasy truce was made between the two enemies.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
Tom loved an old song.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He was never able to remember its name.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He didn't know enough lyrics to look it up.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
Eventually Tom hummed it to a few friends.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They were able to help him find it.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"One morning, Jim was admiring his crush, Michaela.","[u'joy', u'fear', u'anticipation']"
He decided that he would approach her.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
"When he introduced himself, she was very friendly.","[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
He asked her out and they made plans.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"Later, Jim picked Michaela up for their date.","[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Martha was suppose to pick up her daughter from school.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She had overslept and was late by 20 minutes.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Her daughter did not speak to Martha on the car ride home.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Martha apologized to her daughter at dinner.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
Her daughter forgave Martha for being late.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
Tim moved into a new house.,"[u'trust', u'joy', u'fear', u'anticipation']"
The basement always freaked him out.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
One day he misbehaved and his mom locked him down there.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He freaked out and cried uncontrollably.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
His mom used it as a threat whenever he acted up.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Tom thought he was an amazing chess player.,"[u'joy', u'trust']"
He always beat everyone he played.,"[u'anger', u'joy', u'sadness', u'trust', u'anticipation']"
One day he challenged his dad to a game of chess.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
His dad beat him three games in a row.,"[u'anger', u'surprise', u'fear', u'sadness']"
Tom was both amazed and humbled at his dad.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Jeanie wanted to be class president.,"[u'anticipation', u'joy', u'trust']"
Her friend wanted to be class president too.,"[u'anticipation', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
Jeanie worried about the competition against her friend.,"[u'surprise', u'fear', u'anticipation', u'sadness']"
Both promised to not turn against each other.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Jeanie was voted overwhelming as class president.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'trust']"
Tom has a geography test at the end of the week.,"[u'fear', u'anticipation']"
He also has a football game.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'fear']"
Tom has not studied at all.,"[u'fear', u'anticipation', u'sadness']"
He decided to pull an allnighter.,"[u'anticipation', u'fear', u'trust', u'sadness']"
Tom went to take his test and failed anyway.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"During my recent visit, my dentist told me that I had no new cavities.","[u'anticipation', u'joy', u'trust', u'surprise']"
"For the past year, I had been diligent in brushing my teeth.","[u'anticipation', u'joy', u'trust', u'surprise']"
I had also started a daily regimen of flossing twice a day.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
This all paid off.,"[u'joy', u'anticipation']"
"After this, I plan to also start using an oral rinse every day.","[u'trust', u'joy', u'anticipation']"
Alan's brother ask if he could move in with Alan and his wife.,"[u'fear', u'anticipation']"
At first Alan was worried about a crowded house.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
Alan's wife suggested that his brother live in the basement.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
Alan and his brother spent the day turning the basement into a room.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Now Alan's brother has his own space and so does Alan.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Penelope's family announced that they were having a new baby!,"[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Penelope was so excited and told her mom that she wanted a sister.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Her mom explained that they wouldn't know the gender for nine months.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Penelope hoped and prayed for a sister the whole time.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"Just before Easter, Penelope got her wish -- a sister named Sadie.","[u'anticipation', u'joy', u'trust', u'surprise']"
Mark loved to skateboard.,"[u'anticipation', u'joy', u'trust']"
"One day, he fell off and injured himself.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Mark rushed to the doctors to see how bad it was.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The doctor said Mark just had a bruised elbow.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Mark now rides his skateboard with protection.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
"When Rex was 70 years old, he retired.","[u'joy', u'sadness', u'anticipation']"
He had been looking forward to retirement all of his life.,"[u'joy', u'anticipation']"
He sat in his armchair and thought about all the fun things to do.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"Instead, he sat there and did nothing.","[u'sadness', u'anticipation', u'disgust']"
He missed his old job tremendously.,"[u'anger', u'fear', u'sadness', u'disgust']"
George was walking past a row of parked bikes.,[u'joy']
"Suddenly, he bumped one of the back tires.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
This caused all of the bikes to go falling over.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He looked around and saw that no one had seen.,"[u'anger', u'surprise', u'fear', u'anticipation', u'joy']"
"Quickly, he fled from the seen.","[u'surprise', u'fear', u'anticipation']"
The horse showed up to our house.,"[u'surprise', u'fear', u'anticipation']"
It was brown and white.,[]
No one knew where it came from.,"[u'anticipation', u'fear', u'trust', u'joy']"
She was broken and let us ride here.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'fear', u'trust']"
We adopted her and named her Claire.,[]
Mary had to move to a new apartment.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She set out to organize her things.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
"On move day, it took Mary only a few hours to move.","[u'anticipation', u'joy', u'trust', u'surprise']"
She moved just next door to the vacant apartment.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
Mary was pleased that the move went so smoothly.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Kate buckled her chair.,"[u'anticipation', u'fear', u'trust']"
She waited for the countdown to finish.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
Then she rocketed into the sky.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
As the stars came into view she stood in awe.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
She had finally become an astronaut.,"[u'joy', u'fear', u'anticipation', u'surprise']"
Donald was a senator.,"[u'joy', u'trust']"
He ran as an indie candidate.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Donald wanted better implementation of his policies.,"[u'anticipation', u'joy', u'disgust', u'surprise', u'fear', u'trust']"
Ge decided to run in the next term as a Republican.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"He won again, and is now in a better position.","[u'anticipation', u'joy', u'trust', u'surprise']"
Kim was preparing to go to a gala that night.,"[u'anticipation', u'joy', u'trust']"
She had the choice of two dresses and couldn't choose.,"[u'surprise', u'anticipation']"
She picked one at random and put it on.,"[u'joy', u'anticipation', u'surprise']"
"When she arrived at the gala, the host was wearing the same dress.","[u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
They smiled at each other congratulating their good taste.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"Lily has two white mice, Zeus and Zeke.","[u'joy', u'trust']"
Zeus and Zeke are brothers.,[]
"Suddenly, Zeus and Zeke didn't get along anymore.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Lily was forced to separate Zeus and Zeke.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"Zeus and Zeke now live in their own, personal cages.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
John felt like life had no meaning.,"[u'anger', u'fear', u'sadness', u'disgust']"
John decided to go look for meaning.,"[u'trust', u'sadness', u'anticipation', u'fear']"
He studied all sorts of religions at various temples.,"[u'anticipation', u'joy', u'trust']"
John decided he liked Christianity the best.,"[u'anticipation', u'joy', u'trust']"
John converted and now his life had meaning.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Tom was driving to visit his friend.,"[u'anticipation', u'joy', u'trust']"
He listened to music on his phone's radio since his friend lived far.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"When he stopped to call his friend from the store, his phone was dead.","[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
Tom had forgot his charger at home and was distraught.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Tom went into the store quickly to find a new charger.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Aly regularly babysat a two year old.,"[u'anticipation', u'joy', u'trust']"
She was new to the job before him.,"[u'anticipation', u'joy', u'trust']"
One day he threw a tantrum.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Aly was now scared to babysit the two year old.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She asked her friend to do it for her.,"[u'trust', u'surprise', u'fear', u'anticipation', u'sadness']"
I wanted to be thin like the friends i associated with.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'fear', u'trust']"
Desperate I joined a weight loss study.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The doctors placed me on a starvation diet of 800 daily calories.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I felt like I was going to die as the weight melted off.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Now I look sick because of all the weight I lost.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Beth was walking her dog through the neighborhood.,"[u'anticipation', u'joy', u'trust', u'surprise']"
A huge dog ran at them in the street.,"[u'anger', u'surprise', u'fear', u'anticipation', u'disgust']"
They both froze in fear.,"[u'surprise', u'fear', u'anticipation']"
"Beth screamed, ""GO AWAY!""","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The mean dog ran off.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Whitney had to get to the bank.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She did not get off work until 5pm.,"[u'anger', u'anticipation', u'trust']"
The bank closed at 5pm.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
She drove there as fast as she could.,"[u'anger', u'fear', u'anticipation', u'disgust']"
She arrived at the bank at 4:58pm.,"[u'anticipation', u'joy', u'disgust', u'anger', u'surprise', u'fear']"
Stu had seriously miscalculated the time his trip would take.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He had a cooler full of frozen items in ice in the back of the car.,"[u'fear', u'anticipation', u'sadness', u'disgust']"
It sat almost a day in the sun with temperatures near triple digits.,"[u'anger', u'surprise', u'fear', u'sadness', u'disgust']"
All of the food inside the cooler spoiled in a most unpleasant matter.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Stu had to dump the spoiled food in the dumpster of the motel.,"[u'anger', u'surprise', u'sadness', u'fear', u'disgust']"
Jimmy wanted to go to the playground.,"[u'anticipation', u'joy', u'trust']"
"When he got there, he went down the big slide three times.","[u'anticipation', u'joy', u'trust', u'surprise']"
He saw some friends in the sandbox and joined them.,"[u'anticipation', u'joy', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"After a few sand sculptures, he played on the swings.","[u'anticipation', u'joy', u'trust', u'surprise']"
He got tired after an hour and ran home to take a nap.,"[u'anger', u'anticipation']"
Kevin wanted to lose weight.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
He decided to start jogging.,"[u'joy', u'anticipation']"
He would do it every morning.,"[u'anticipation', u'trust', u'surprise', u'joy']"
After a while he noticed results.,"[u'joy', u'anticipation']"
He kept going and kept losing weight.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Breanna wants to lose some weight.,"[u'trust', u'joy', u'sadness', u'anticipation', u'disgust']"
She decides to go jogging.,"[u'anticipation', u'joy', u'fear', u'trust']"
She made it into a routine and jogged everyday.,"[u'anticipation', u'joy', u'trust', u'surprise']"
She then lost 5 pounds in 2 weeks.,"[u'joy', u'anticipation', u'surprise']"
She was happy and decides to do it for another month.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Anna was a German who lived during the 1940s.,[]
"When World War II began, she pitied the Jews.","[u'anger', u'fear', u'sadness', u'disgust']"
She stealthily took a neighbor Jew girl into her home.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Anna hid her in the basement when the Nazis searched her house.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'fear', u'trust']"
"After the war, Anna adopted the girl as her own.","[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
The local high school was having a fashion show.,[]
Jim went as a reporter for the school paper.,"[u'anticipation', u'joy', u'trust']"
"He interviewed the designers, and photographed the event.","[u'anticipation', u'joy', u'trust', u'surprise']"
Jim wrote a glowing review of the event.,"[u'trust', u'joy', u'anticipation', u'surprise']"
The principal thanked Jim for his work.,"[u'anticipation', u'joy', u'trust', u'surprise']"
John was a student at an elementary school.,"[u'anticipation', u'joy', u'trust', u'surprise']"
John found out about an upcoming field trip.,"[u'trust', u'joy', u'anticipation', u'surprise']"
John and his classmates went to a ranch.,"[u'trust', u'joy', u'anticipation', u'surprise']"
They all rode horses and had a great time.,"[u'anticipation', u'joy', u'trust', u'surprise']"
John later bought a farm and a horse as an adult.,"[u'anticipation', u'joy', u'trust']"
One Summer morning we decided to go to the Zoo.,[]
We got there late and there was a very long line.,[]
By the time we got into the Zoo we had missed the Lion Show.,[]
That was very upsetting.,[]
Thankfully we got to watch the Elephant show right after.,[]
"Tina didn't like coffee, except for when her grandfather made it.","[u'anticipation', u'joy', u'trust', u'surprise']"
Tina's fiance made her coffee but she didn't like it.,"[u'surprise', u'sadness', u'trust']"
"On their wedding day, her grandfather bought her a coffee maker.","[u'anticipation', u'joy', u'trust']"
It was the same coffee maker he owned.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
Now Tina like coffee by her grandfather and husband.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Mimi ate at Chipotle on Friday.,"[u'anticipation', u'joy', u'trust']"
She enjoyed her favorite meal of a burrito bowl.,"[u'joy', u'anticipation']"
After she ate she went home to nap.,"[u'joy', u'trust']"
When she woke up she was feeling terrible.,"[u'anger', u'surprise', u'sadness', u'fear', u'disgust']"
Mimi realized she had contracted the e coli bacteria.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Kevin was a super-star comedian.,[u'joy']
He flew to Philadelphia for a show.,"[u'trust', u'joy', u'anticipation']"
"In a restaurant he met Duane, a teenager trying to be a comedian.","[u'joy', u'surprise']"
The teenager started telling jokes like he learned from Kevin.,"[u'trust', u'joy', u'anticipation']"
But Kevin was offended and punched the teenager on his face.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Amanda was a mother of four who enjoyed her cigarettes.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The children all pleaded with her to quit this nasty habit.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Although she did not believe she could do it she did try.,"[u'anticipation', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
She went to the store and purchased nicotine patches and gum.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
With these two aids Amanda was able to break the habit.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Luke was out very late on Sunday night.,[]
"When it was time to wake up in the morning, he slept through the alarm.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
"The phone rang two hours later, jolting him out of bed.","[u'surprise', u'fear', u'anticipation']"
He answered but it was his boss who was yelling at him.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He apologized and went to work right away.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Jerry had no money and was living with his parents.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
"One day, Jerry decided that he would make something of himself.","[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
He decided to make five-thousand dollars from Amazon Mechanical Turk.,"[u'joy', u'anticipation']"
"Then, he used that money to start a data consulting business.","[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
"Finally, Jerry had made something of himself!","[u'anticipation', u'joy', u'trust', u'surprise']"
Zack was excited by his upcoming date.,"[u'trust', u'joy', u'anticipation', u'surprise']"
He couldn't decide which restaurant he would take his date to.,"[u'joy', u'fear', u'anticipation', u'disgust']"
He asked his best friend for advice.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
His friend suggested they go to a new restaurant which just opened.,"[u'anticipation', u'joy', u'trust']"
He took his date there only to find out they only took reservations.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Ben was never a good story teller.,"[u'anger', u'sadness', u'fear', u'disgust']"
"In English class, he usually did poorly.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
His stories that he turned in were always criticized.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Ben was determined to become the best writer possible.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
Ben is all grown up and is now a world famous author.,"[u'joy', u'anticipation']"
Gina decided to go to a different high school.,[]
She was already enrolled in one.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
She needed to go to the new one to enroll.,"[u'anticipation', u'joy', u'fear', u'trust']"
Her mother stayed for the first 30 minutes.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
From there the Gina completed the enrollment alone.,"[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
Jay wanted to get out of his record label.,"[u'anger', u'surprise', u'fear', u'anticipation', u'disgust']"
He can't because of his contract.,"[u'anger', u'surprise', u'sadness', u'disgust']"
He decided to bring in a lawyer.,"[u'anticipation', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
The lawyer did things behind the scenes.,"[u'anticipation', u'joy', u'disgust', u'anger', u'fear', u'trust']"
Jay got out of the label.,"[u'joy', u'trust', u'surprise']"
The young woman was worried sick about her interview,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
She stayed up all night dreading the interview.,"[u'sadness', u'anticipation', u'fear']"
"The next day, it took all her courage to be interviewed.","[u'surprise', u'fear', u'anticipation']"
She did very well and was offered a position.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Now she wonders why she gets so worked up.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
Amanda has always loved to cook from scratch.,"[u'trust', u'joy', u'anticipation']"
She decided she would bake fresh banana bread.,"[u'anticipation', u'joy', u'fear', u'trust']"
Amanda kneaded the dough after mixing the ingredients.,"[u'trust', u'joy', u'anticipation']"
She then left the dough on the counter to let it rise.,"[u'joy', u'anticipation']"
Amanda served the bread to her friends after it was done.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Sam was cutting wood.,[u'joy']
He was using a hand saw.,"[u'anticipation', u'joy', u'fear', u'trust']"
Unfortunately he wasn't wearing eye protection.,"[u'anticipation', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
A piece of wood flew up and hit him in the eye.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Sam lost eyesight for a while.,"[u'anger', u'surprise', u'fear', u'anticipation', u'sadness']"
Ted was just starting out college.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He had a place to live but needed a roommate.,"[u'anticipation', u'joy', u'trust']"
He posted an ad on craigslist looking for one.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Suddenly his phone rings.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Ted talks to John and the two become roommates.,"[u'anticipation', u'joy', u'trust']"
Kelly really wanted her ears pierced.,"[u'joy', u'fear', u'anticipation']"
She never had them done before.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
She drove to the parlor to get them done.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
When she got there they pieced them.,"[u'anticipation', u'joy', u'trust']"
To her surprise it did not hurt.,"[u'joy', u'trust', u'surprise']"
"In 1999, I met Jason via an online chat forum.",[]
"We got along ok, but I really only wanted an escape.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
"When he came to pick me up, I went with him sight unseen.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
I moved to oklahoma with him.,"[u'anticipation', u'joy', u'anger', u'surprise', u'fear', u'trust']"
We ended up getting married unnecessarily.,"[u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Vinny went on a field trip.,"[u'trust', u'joy', u'anticipation', u'surprise']"
He became very hungry.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The bus stopped at a mall.,"[u'trust', u'joy', u'anticipation', u'surprise']"
He got out.,"[u'anticipation', u'joy', u'trust', u'surprise']"
He ate something for lunch.,"[u'joy', u'trust', u'disgust', u'surprise']"
Alan's english teacher assigned everyone a research paper.,"[u'anticipation', u'joy', u'trust', u'disgust', u'surprise']"
He had to pick someone he admired and write about him.,[u'anticipation']
Alan's father is a police officer.,"[u'anticipation', u'joy', u'fear', u'trust']"
He decided to write about him.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Alan got an A on the paper.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Mason has not been to a beach in 5 years.,"[u'surprise', u'sadness', u'anticipation']"
He finds out that a group on campus is taking a trip to Florida.,"[u'trust', u'joy', u'anticipation', u'surprise']"
The trip is too expensive and Mason is sad.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
Mason enters a raffle the group made for a free ticket to go.,"[u'trust', u'joy', u'sadness', u'anticipation', u'surprise']"
Mason wins and goes on the Florida beach trip.,"[u'anticipation', u'joy', u'trust', u'surprise']"
I stopped by McDonald's on the way home yesterday.,"[u'anticipation', u'joy', u'trust']"
I ordered a burger without pickles.,"[u'anticipation', u'joy', u'trust']"
When I got home the burger had pickles on it.,"[u'anger', u'surprise', u'sadness', u'fear', u'disgust']"
I had to drive back to get another one.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
They acted like I was being too sensitive.,"[u'anticipation', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The Bluejays were a good team.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They had won all of their soccer games that season.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They made it to the championship game.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
The team captain gave them a pep talk.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
They were psyched for the big game!,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
A monkey watched a crowd of children walk past his cage.,[]
He jumped around for the kids to entice them.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
One child saw this action and was drawn into the monkey.,"[u'anticipation', u'joy', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The kid felt like he should reward the monkey for the entertainment.,"[u'anticipation', u'joy', u'trust', u'surprise']"
The kid threw some of his food over the fence to feed the monkey.,"[u'anticipation', u'joy', u'trust', u'surprise']"
"In 1995, I saw a lap harp in a toy store.","[u'joy', u'trust', u'surprise']"
It looked fun to play.,"[u'joy', u'anticipation', u'surprise']"
It cost $60 and I did not buy it.,[]
In 2011 I had a stroke and retired on disability.,"[u'sadness', u'fear']"
I bought the lap harp and started to play it.,"[u'anticipation', u'joy', u'sadness', u'anger', u'surprise', u'fear', u'trust']"
A traffic accident happened in the middle of town.,[]
A news crew interviewed a bystander.,"[u'anticipation', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
He raced home to see himself on the news.,"[u'trust', u'joy', u'anticipation']"
In his rush he caused another accident.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The news crew came and interviewed him again.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Fred failed his math class in middle school.,"[u'anger', u'sadness', u'anticipation', u'fear', u'disgust']"
He was hoping his parents would never find out.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
The teacher required him to retake the course.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
He ended up telling his parents and they had to sign his report card.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
Fred studied very hard and passed the second time around.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Phil put a tape recorder in his shirt pocket all day.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
At night he shut it off and transcribed the day.,[]
He tried to put on a play using the transcription as the script.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'fear', u'trust']"
The show was a hit in the art world.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Phil's one day had become infamous.,"[u'joy', u'anticipation', u'surprise']"
"I was sitting at a party, and my friends and I realized we were hungry.","[u'anticipation', u'joy', u'sadness', u'surprise', u'fear', u'trust']"
We decided to order some pizza.,"[u'anticipation', u'joy', u'trust']"
"We asked everyone else at the party if they wanted pizza, too.","[u'anticipation', u'joy', u'sadness', u'trust', u'surprise']"
Only three other people said they would also eat pizza.,"[u'trust', u'joy', u'sadness', u'anticipation', u'surprise']"
We ended up ordering four pizzas.,"[u'trust', u'joy', u'sadness', u'anticipation', u'surprise']"
It had been 45 minute since dinner.,[]
