,text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
681,I bought a supplement that promised to cure her.,1,1,1,1,1,1,1,1
682,I put the supplement on her food.,0,0,0,0,0,0,0,0
683,"She ate the food, but threw it up.",0,0,0,0,0,0,0,0
684,She was even sicker than before.,1,1,1,1,0,1,1,0
685,My phone battery got fried so I decided to buy a new one.,1,1,1,0,0,1,1,0
686,I went to the store without making an appointment.,0,0,0,0,0,0,0,0
687,I stood in line forever.,1,1,1,1,0,1,1,0
688,No one even bothered to ask what I was doing there.,1,0,1,0,0,1,1,0
689,I decided to leave and purchase a phone online.,1,1,1,1,0,1,1,0
690,My younger brother and I were golfing with plastic clubs.,0,1,1,0,1,0,1,1
691,I didn't keep my grip on one.,1,1,1,1,0,1,1,0
692,It flew and hit my brother.,1,1,1,1,0,1,1,0
693,He went crying to his dad.,1,1,1,1,1,1,1,1
694,His dad told be to be more careful.,1,1,1,1,0,1,1,0
695,Sam loved to make salads.,0,0,0,0,1,0,0,0
696,Sam would use only ingredients that he grew in his salads.,0,0,0,0,1,0,0,1
697,"One day, Sam decided to start selling bagged salads.",0,1,0,1,1,0,1,1
698,He doubled his vegetable production and started bagging.,0,1,0,0,1,0,0,0
699,Sam now has acres of farmland and a successful salad business!,0,1,0,0,1,0,0,1
700,Jack was a senior football player.,0,1,0,0,1,0,0,1
701,"One day during practice, he hit his head.",1,0,0,1,0,0,1,0
702,He was sent to the doctor.,0,1,0,1,0,0,1,0
703,The doctor diagnosed him with a concussion.,1,1,1,1,0,1,1,1
704,Jack was not able to play for 3 weeks.,1,1,1,1,0,1,1,0
705,We started collecting pez dispensers.,0,0,0,0,0,0,0,0
706,We found the entire Kiss set.,0,0,0,0,0,0,0,0
707,Then we found the simpsons at a garage sale.,0,0,0,0,0,0,0,0
708,We went to a bunch of sales to find some.,0,1,0,0,1,0,1,1
709,We built a huge collection.,0,0,0,0,0,0,0,0
710,Brandon drank beer a lot.,1,1,1,1,1,1,1,1
711,He was abusing alcohol.,1,0,1,1,1,1,1,1
712,One day his liver started failing.,1,1,1,1,0,1,1,0
713,It was because of the alcohol.,1,1,1,1,0,1,1,0
714,He died from severe liver damage.,0,0,0,0,0,0,0,0
715,Bill went to the mall to buy clothes.,0,1,0,0,1,0,0,1
716,A mall vendor stopped Bill as he went to the clothes store.,1,1,1,1,0,0,1,1
717,He tried to sell Bill a candle but Bill resisted him.,1,1,1,1,1,1,1,1
718,Bill left and bought his clothes.,1,1,1,0,1,0,1,1
719,He felt bad about the vendor so he returned and bought a candle.,1,0,1,0,1,1,1,0
720,I had a reunion with my high school friends in 2013.,1,1,1,1,1,1,1,1
721,We had not seen each other since 1971.,0,1,0,1,1,0,1,1
722,Our wives came with us.,0,0,0,0,0,0,0,0
723,"One wife explained their son was a bachelor type, with no girlfriends.",1,1,1,1,1,1,1,1
724,Later we found out the son was gay.,0,0,0,0,0,0,1,0
725,My family needed to eat so I prepared dinner.,0,1,0,0,1,0,1,1
726,I located the pizzeria's phone number online.,1,1,1,1,1,1,1,1
727,I called and placed my order.,0,1,0,0,1,0,1,1
728,I drove to the shop and picked up our food.,0,1,0,0,1,0,1,1
729,I set the table and we all ate good.,0,1,0,0,1,0,1,1
730,I let my cousin stay with me.,0,0,0,0,1,0,1,1
731,He had nowhere to go.,0,1,0,1,1,1,1,1
732,"However, he was a slob.",1,1,1,1,0,1,1,1
733,I was about to kick him out.,1,1,1,0,0,1,0,0
734,"When he cooked my a huge breakfast, I decided he could stay.",0,1,0,0,1,0,1,1
735,Sally was painting her nails pink.,0,0,0,0,0,0,0,0
736,All of a sudden a spider jumped on her.,0,1,1,1,0,0,1,0
737,She stood up quickly and knocked the bottle over on her table.,1,1,1,1,0,1,1,0
738,She tried to wipe the polish off.,1,0,0,1,0,1,1,0
739,"However, it stained the table pink.",1,0,0,0,0,1,0,0
740,Brian's family went to a theme park.,0,1,0,0,1,0,1,1
741,Brian got lost between rides.,1,1,1,1,0,1,1,0
742,Brian was frightened.,1,1,1,1,0,1,1,0
743,Brian's father had told him to stay where he was.,1,1,1,1,1,1,1,1
744,Brian's father found him a few minutes later.,1,1,1,1,1,1,1,1
745,Bill had a flat tire on his way to a job interview.,1,1,1,1,0,1,1,0
746,Bill quickly hopped out and got his spare from the trunk.,1,1,0,1,0,0,1,1
747,Bill put the spare on the car and threw the flat in the trunk.,1,0,1,0,0,0,1,0
748,Bill continued to drive to the interview.,1,1,0,1,0,1,1,1
749,Bill aced the interview and got the job!,0,1,0,0,1,0,0,1
750,John went out to the lake to go fishing one morning.,0,1,0,0,1,0,1,1
751,He went onto his boat and relaxed with his fishing pole.,0,1,0,0,1,0,1,1
752,"While sitting, he felt a tug on his pole and began reeling.",0,1,0,1,1,0,1,1
753,"Just as he was pulling the fish up, a beautiful sunrise emerged.",0,1,0,0,1,0,1,1
754,John couldn't believe the sight and he was brought to tears.,0,1,0,0,1,0,1,1
755,Kelly was pregnant.,0,1,0,0,1,0,1,1
756,She needed to relax.,1,1,1,1,1,1,1,1
757,So she scheduled a spa day.,1,1,1,1,1,1,1,1
758,It was great.,0,1,0,0,1,0,0,1
759,She left feeling refreshed.,0,1,0,0,1,0,1,1
760,The Twine twins did not stay in contact after graduation.,0,0,0,0,0,0,0,0
761,"Twyla married a man she met the next year, and they started a family.",1,1,1,1,1,1,1,1
762,"Tula became a drug queenpin, and had a price put on her head.",1,1,0,1,0,1,1,0
763,"One day Twyla vanished, never to be heard from again.",1,1,1,1,1,1,1,1
764,"Her family didn't notice, though, because Tula fit right in.",1,1,1,1,1,1,1,1
765,Luke has a math test tomorrow.,0,1,0,1,0,1,1,0
766,He has not studied at all.,1,1,1,1,0,1,1,0
767,When he got to school he tried to study.,1,1,1,1,1,1,1,1
768,"However, he did not understand at all.",1,1,0,1,0,1,1,0
769,He ended up failing his test.,1,1,1,1,0,1,1,0
770,Jessica was a single woman and was lonely.,1,1,1,1,0,1,0,0
771,She was at the grocery store one day shopping.,0,1,0,1,0,1,0,0
772,A nice man walked up to her and called her beautiful.,0,1,0,0,1,0,1,1
773,He took her to dinner the next day.,0,1,0,0,1,0,1,1
774,They fell in love quickly.,0,1,0,0,1,0,1,1
775,I bought myself a mint plant for my window.,0,0,0,0,0,0,0,0
776,When it doesn't get enough water it droops.,0,1,0,0,1,0,0,1
777,I have nicknamed it 'Moody'.,0,1,0,0,1,0,0,0
778,I tell my boyfriend to 'feed Moody' and he gets confused.,1,1,0,1,1,1,1,1
779,I explain myself and he laughs.,1,0,0,0,1,0,1,1
780,Bill wrote a book.,0,1,0,0,1,0,0,1
781,He sent the book to a book publisher.,0,1,0,1,1,0,1,1
782,The publisher read his book and liked it.,0,1,0,0,1,0,1,1
783,He offered to publish Bill's book.,0,1,0,1,1,0,1,1
784,Bill became a famous author.,0,1,1,0,1,0,1,1
785,Lisa was going on a road trip with her family.,0,1,0,0,1,0,0,1
786,She drank a soda before she left.,0,1,0,0,1,0,0,1
787,"Within an hour into the trip, she had drank two more sodas.",1,0,1,1,1,1,1,1
788,Soon Lisa needed to stop at a restroom.,0,1,1,1,1,1,1,1
789,Lisa's father warned her to stop drinking as much.,1,1,1,1,0,1,1,0
790,Liam and his friends loved going bowling.,0,1,0,0,1,0,0,1
791,They had a tournament amongst themselves every year.,0,1,0,0,1,0,1,1
792,"This year, Liam bowled a perfect game!",0,1,0,0,1,0,1,0
793,He got to take home the bowling pin trophy.,1,1,0,0,1,1,1,1
794,Liam started practicing for next year as soon as he got home.,1,1,0,0,1,1,1,1
795,Delia brushed her teeth once a day and never flossed.,0,0,0,0,0,0,0,0
796,Delia's dental hygienist asked her whether she flossed.,0,1,1,1,0,1,1,1
797,Delia lied for the first time and said that she did.,0,0,1,1,0,1,1,1
798,"When the hygienist flossed for her, Delia's gums bled a lot.",1,1,1,1,0,1,1,0
799,Delia was so ashamed that she started flossing daily.,0,0,1,0,0,1,0,0
800,Bob had a lot to drink one night.,0,1,1,1,0,1,1,0
801,"Against all better judgement, he made his way to his car.",1,1,0,0,1,0,0,1
802,He drove too fast and struggled just to keep the car straight.,0,1,1,1,0,0,1,0
803,"He came to a red light, but didn't notice.",1,1,1,1,0,1,1,0
804,Bob and the other driver in the intersection died on impact.,1,0,1,1,0,1,1,0
805,Benny worked at the produce section of a supermarket.,0,0,0,0,0,0,0,0
806,"He hated customers, but loved working with the fruit.",1,1,1,0,1,1,1,1
807,Benny was asked a question by a customer one afternoon.,1,1,1,0,1,0,1,1
808,Benny told them to leave him alone with his fruit.,1,1,1,1,0,1,1,0
809,He was fired that evening when his boss found out.,1,1,1,1,0,1,1,0
810,I was taking a walk down the street and heard a tiny meow.,0,1,1,0,1,1,1,1
811,I looked left and saw a little kitten with no mommy.,1,1,1,1,1,1,1,1
812,"I grabbed her up, and wrapped her in a scarf I had with me.",1,1,1,1,1,1,1,1
813,"I took her home, bathed her, and fed her milk and chicken.",0,1,0,0,1,1,1,1
814,"I've had her for seven Years now, and she's my best buddy.",0,1,0,0,1,0,1,1
815,Martin didn't like doing his homework.,1,1,1,0,0,1,0,0
816,One day he decided to pay Will to do his homework for him.,0,1,1,1,1,0,1,1
817,Martin enjoyed not having to do his homework.,0,1,0,1,1,0,1,1
818,It didn't take long for Martin's bad decision to catch up with him.,1,1,1,1,1,1,1,0
819,When test time came Martin had no know of the material and failed.,1,0,1,1,0,1,1,1
820,Katie found a pink dress she loved.,1,1,1,1,1,1,1,1
821,She did not have enough money to buy it.,1,0,1,1,0,1,0,0
822,She decided to save up.,1,1,0,0,0,1,0,1
823,She finally had enough.,0,1,0,0,1,0,1,1
824,She went to the dress store and bought it.,0,1,0,0,1,0,1,1
825,Harry drilled a hole in the ice.,0,1,0,0,1,0,1,1
826,He sat on a bucket and put his line in.,0,1,0,0,1,0,1,1
827,"He waited for a fish, patiently.",0,1,0,0,1,0,1,1
828,He finally got a bite!,0,1,1,1,1,0,1,1
829,He reeled in a giant sturgeon.,0,1,0,0,1,0,1,1
830,Amy was on a late night drive.,0,1,0,0,1,1,0,0
831,She passed a sign that said Welcome to Ebenezer.,0,1,1,1,1,1,1,1
832,Amy knew she was very lost!,0,1,0,1,0,1,1,0
833,So she pulled into a gas station and asked for directions.,0,1,1,1,0,1,1,1
834,It turned out she had come fifty miles from home!,1,1,1,1,0,1,1,0
835,Tabby was a sweet girl.,0,0,0,0,0,0,0,0
836,She had long brown hair and native cheekbones.,0,0,0,0,0,0,0,0
837,She always told everyone she was a native american.,0,0,0,0,0,0,0,0
838,"It wasn't true, but people believed it.",0,0,0,0,0,0,0,0
839,She thought it was very funny.,0,1,0,1,1,0,1,1
840,Henrietta started a blogging website.,0,0,0,0,0,0,0,0
841,She wanted to use pay-per-click ads to make money on it.,0,1,0,1,1,0,1,1
842,The ads paid out at an obscenely low rate when clicked.,1,1,1,1,1,1,1,1
843,"She concluded she would need thousands of visitors per hour, minimum.",1,1,1,1,1,1,1,1
844,She pulled the ads and focused on the site as a hobby project instead.,1,1,0,1,1,1,1,1
845,Randal was at a party with his friends.,0,0,0,0,0,0,0,0
846,He suggested that he order a pizza.,0,1,0,1,1,0,0,1
847,His friends told him to order whatever toppings he liked.,0,1,0,0,1,0,1,1
848,He happily got pineapple on the pizza.,0,1,0,0,1,0,1,1
849,Randal ate most of the pizza by himself.,1,0,1,0,1,1,1,0
850,Hannah needed extra money.,0,1,0,1,0,1,0,1
851,She decided that she was going to breed her rabbit and sell the babies.,0,1,1,0,1,1,0,1
852,She bought another rabbit and waited.,0,1,0,0,1,0,0,0
853,Her rabbit still wasn't pregnant after a month.,1,1,1,0,1,1,1,0
854,Then Hannah discovered that both rabbits were females.,1,1,1,0,0,1,1,1
855,Jen and Mike were having a picnic.,0,1,0,0,1,0,1,1
856,The sky got overcast.,1,1,1,1,0,1,1,0
857,Jen and Mike started to pack up their food.,1,1,1,1,0,1,1,0
858,They ate the rest of their food in their car.,1,1,1,0,1,1,1,1
859,Jen and Mike headed home in the rain.,1,0,1,1,1,1,1,1
860,I got two tickets from the same policeman within two weeks.,1,0,1,1,0,1,1,0
861,I was speeding when I was late to a class.,1,1,1,0,0,1,0,0
862,A couple weeks later I was coming from my house.,1,1,0,1,0,0,1,0
863,I didn't really know the speed limit.,1,1,1,1,0,1,1,0
864,I was going over it though.,1,1,1,1,0,1,1,1
865,I was looking at my attic one day.,0,1,0,0,1,1,1,1
866,It looked like it would make a good clubhouse.,0,1,0,0,1,0,1,1
867,I put a couch and a tv up there.,0,1,0,0,1,0,0,1
868,My friends and I had fun in our new clubhouse.,0,1,0,0,1,0,1,1
869,Until we realized that rats live up there.,1,1,1,1,0,1,1,1
870,Tom was a boxer.,0,1,0,0,1,0,0,1
871,He had his first professional match.,0,1,0,1,1,0,1,0
872,Tom was outclassed and easily beaten.,1,1,1,1,1,1,1,1
873,Tom took in in stride.,1,1,0,0,0,1,1,1
874,He practiced harder and became much better.,0,1,0,0,1,0,0,0
875,Sally liked toys alot for xmas.,0,1,0,0,1,0,1,1
876,And this year she got alot.,0,0,0,0,1,0,1,1
877,But she never took care of them.,0,1,1,1,1,1,1,0
878,So her mother donated them to a local charity.,1,1,1,1,1,1,1,1
879,Sally even noticed they were gone.,1,1,1,1,0,1,1,0
880,Ben bought a dog crate for an upcoming airline trip.,0,1,0,0,1,0,0,1
881,The crate was too small for the dog.,0,0,0,0,0,0,0,0
882,He asked his wife to return it to the store for him.,1,1,1,1,0,1,1,0
883,He forgot to give her his credit card for the return.,1,1,1,1,0,1,1,0
884,She was really upset when the store would not take the return.,1,1,1,1,0,1,1,1
885,The entrepreneurs had an idea.,0,1,0,0,1,0,1,1
886,The decided to raise money through an internet campaign.,0,1,0,0,1,0,0,1
887,They showed people how great their idea was.,0,1,0,1,1,0,1,1
888,The people were all eager to contribute.,0,1,0,1,1,0,1,1
889,"Soon, the entrepreneurs had enough money to fund their project!",0,1,0,1,1,0,1,1
890,Kia was asked out on a date.,0,1,0,1,1,0,1,1
891,The boy who asked her was a shy classmate.,0,1,0,1,1,0,1,1
892,"At first she thought to refuse, but then she said sure.",0,1,0,1,1,0,1,1
893,"On the date, Kia was surprised.",0,1,0,1,1,0,1,1
894,The shy boy showed her a wonderful time!,0,1,0,0,1,0,1,1
895,Yesterday I watched a five minute workout on my tablet.,0,1,1,0,0,0,0,0
896,I tried to emulate the workout but it was painful.,1,0,0,0,0,1,1,0
897,My muscles were immediately in pain.,0,1,1,1,0,1,1,0
898,The next day I was in so much pain I could not even bend or sit down.,1,0,0,0,0,1,0,0
899,The pain was unbearable.,0,1,0,0,0,0,1,0
900,Julia was newly pregnant and very excited.,0,1,0,0,1,0,0,1
901,Unfortunately her happiness was impeded on by her sickness.,0,1,1,1,0,1,1,0
902,She was throwing up many times a day for weeks.,0,1,1,1,1,1,1,1
903,"Just when she thought she couldn't take anymore, it cleared up.",0,1,0,1,1,0,1,1
904,Thankfully she had a very healthy remainder of her pregnancy.,0,0,0,0,1,0,0,0
905,Peter went to Africa to do some missionary work.,0,0,0,0,0,0,0,0
906,"While in Africa, Peter contracted malaria.",1,1,1,1,0,1,1,0
907,Peter had to leave Africa to get medical treatment at home.,1,0,1,1,0,1,1,0
908,Peter eventually recovered from his illness.,0,1,0,0,1,1,1,0
909,Peter returned to Africa because he was dedicated to his mission.,0,1,0,1,1,0,0,1
910,Franklin got a toy robot for Christmas.,0,1,0,0,1,0,1,1
911,He played with it outside.,0,1,0,0,1,0,1,1
912,Then he left to go eat dinner.,0,1,0,0,1,0,1,1
913,He forgot about it and left it outside when it rained.,1,1,1,1,0,1,0,0
914,The next day he found it all wet and ruined.,1,0,1,1,0,1,1,0
915,Skip is with his friends at the lake.,0,1,0,0,1,0,0,1
916,Skip wishes he could join them.,0,1,0,0,1,1,0,1
917,Skip doesn't know how to swim.,1,0,1,1,1,1,1,0
918,While standing next to the lake one of his friends push him in.,1,1,1,1,0,1,1,0
919,Skips falls in and almost drowns before one of his friends saves him.,1,1,1,1,0,1,1,0
920,Owen was at a school dance.,1,1,1,1,1,1,1,0
921,He really liked a girl at the dance.,0,1,0,1,1,0,1,1
922,Owen was trying to get the nerve to ask her to dance.,0,1,0,1,1,0,0,0
923,He finally did get the nerve and walked up to her.,0,1,0,1,1,0,1,1
924,The dance was ending and he was mad he didn't ask sooner.,1,0,1,1,0,1,0,0
925,It was winter.,0,0,0,0,0,0,0,0
926,I had not seen direct sunlight for many weeks.,1,1,1,1,0,1,1,0
927,"One morning, the clouds dissipated and the sun shone brightly.",0,0,0,0,0,0,0,0
928,I stepped outside in the fresh morning air.,0,1,0,0,1,0,0,1
929,The sun made me feel happy and rejuvenated.,0,1,0,0,1,0,1,1
930,Mark was riding his bike without knee pads.,0,0,0,0,0,0,0,0
931,His mom said he needed to wear them.,1,1,1,1,1,1,0,1
932,"Mark didn't listen, and went down the big hill.",1,1,0,1,1,1,1,1
933,"He ended up losing control, and fell.",1,1,1,1,0,1,1,0
934,"He went home and his mom saw his knees, but helped him heal.",1,1,0,1,1,1,1,1
935,The holidays were just around the corner.,0,0,0,0,0,0,0,0
936,The Cox family was preparing for it all.,0,1,0,0,1,0,1,1
937,"Baking, present wrapping, and more was all getting done.",0,1,0,0,1,0,1,1
938,They all had a great time visiting relatives.,0,1,0,0,1,0,1,1
939,"After all the hustle and bustle, they were relieved to take a break.",0,1,0,0,1,0,1,1
940,Stewart enjoyed model rocketry.,0,1,0,0,1,0,0,0
941,He started a science fair project on the physics of model rockets.,0,1,0,0,1,0,1,1
942,One of his rockets accidentally exploded during a flight.,1,0,1,1,0,1,1,0
943,Stewart used physics to explain why his rocket exploded.,1,0,0,0,1,1,1,1
944,Stewart won third place in the science fair.,1,1,0,0,1,1,1,1
945,Reese liked to collect toy trucks.,0,1,0,0,1,0,0,0
946,He always wanted a huge collection.,0,1,0,0,1,0,0,0
947,He bought trucks off online.,0,1,0,1,1,0,1,1
948,He did this for 10 years.,0,1,0,0,1,0,1,1
949,He now has over 500 trucks.,0,1,0,0,1,0,0,1
950,I was excited to go to college.,0,1,0,0,1,0,0,1
951,It was there I'd achieve my dreams of being an engineer.,0,1,0,0,1,0,1,1
952,"I took my first two years of classes, and came to a realization.",0,1,0,1,1,1,1,1
953,They weren't teaching me anything at all about anything.,1,1,1,1,0,1,1,0
954,"And so, I quit.",1,0,1,1,0,1,1,0
955,Ken looked in the mirror as he prepared to leave and halted.,1,0,0,0,0,0,1,0
956,He could see his nipples through his shirt.,0,0,1,1,0,1,1,0
957,Ken realized he'd gotten very old and was sad.,1,1,1,1,0,1,1,0
958,"He didn't want to be fat, too, though.",1,1,1,1,0,1,1,0
959,He found a sweatshirt to cover himself and went for his walk.,0,0,1,0,1,1,0,1
960,Ken saw a cute girl at the club.,0,1,0,1,1,0,1,1
961,He offered to buy her a drink.,0,1,0,0,1,1,0,1
962,She turned him down.,1,0,1,1,0,1,1,1
963,Ken persisted but she kept turning him down.,1,1,1,1,0,1,1,1
964,Eventually he had to move on.,1,1,1,1,1,1,1,0
965,My wife and I are on our honeymoon in Cancun.,0,1,0,0,1,0,1,1
966,We have been here for five days and are having a blast.,0,1,0,0,1,0,1,1
967,"We have been doing nothing but eating, drinking and sleeping.",0,1,1,1,1,1,1,1
968,We do miss our two dogs back home though.,0,1,0,1,1,1,1,1
969,Thankfully we get to fly back home to see them tomorrow morning.,0,1,0,0,1,1,1,1
970,Mark loved to travel.,0,1,0,0,1,0,0,0
971,He visited the West Coast many times.,0,1,0,0,1,0,0,1
972,Mark thought going to Ireland would be cool.,0,1,0,0,1,0,0,1
973,Mark planned a trip to Ireland with his girlfriend.,0,1,0,0,1,0,1,1
974,"When he got there, he proposed to his girlfriend.",0,1,1,1,1,0,1,1
975,Cindy was against the war in Oceania.,1,1,1,1,1,1,1,1
976,She made a collage of ghastly looking pictures.,1,1,1,1,1,1,0,1
977,"People were so moved by the pictures, they voted out the warhawks.",1,0,0,0,1,1,1,1
978,Cindy felt heady with success and tried to do the same thing with GMOs,0,1,1,1,1,1,1,1
979,The people became angry and burned her alive for it.,1,1,1,1,0,1,1,1
980,Adam is walking in the city.,0,0,0,0,0,0,0,0
981,he sees an old lady trying to cross the street.,0,0,0,0,0,0,0,0
982,He tries to take her across the street.,0,1,0,0,1,0,1,1
983,She wasn't having it.,1,1,1,1,0,1,1,0
984,She yelled at him.,1,0,1,1,0,1,1,0
985,Tom was at starbucks trying to get a coffee.,0,1,0,0,1,0,0,0
986,The service was pretty slow.,1,1,1,0,0,0,1,0
987,By the time he got his drink it was already cool.,1,1,1,0,0,1,1,0
988,Tom complained to the people working.,1,1,1,1,0,1,1,0
989,They apologized and offered him a new drink.,1,1,1,0,1,1,1,1
990,It was Remy's first day of college.,0,1,0,1,1,0,1,1
991,And should couldn't find her first class.,1,0,1,1,0,1,1,0
992,She asked a student where the science center was.,0,1,0,1,1,0,0,1
993,But she only became more confused.,1,1,1,1,0,1,1,0
994,"When Remy arrived at her class, everyone was already leaving.",1,0,1,1,0,1,1,0
995,Martha had a dog named Butch.,0,1,0,0,1,0,0,1
996,Butch would lie all day on the sofa like a lazy dog.,0,0,0,0,0,0,0,0
997,Martha came home one day with a cat.,0,0,0,0,0,0,0,0
998,Butch woke up from his slumber and lept from the sofa.,0,1,0,1,1,0,1,1
999,"Butch grabbed the cat and shook it, and killed the cat.",1,1,1,1,1,1,1,1
1000,Gina didn't like 2 of the books she checked out.,1,1,1,1,0,1,1,0
1001,She was worried she wouldn't like the 3rd one either.,1,1,1,1,0,1,1,0
1002,But there was only one way to find out.,0,1,0,0,0,0,0,1
1003,She opened the book and scanned the contents.,0,1,1,1,0,1,0,0
1004,She was relieved to see it was just what she needed.,0,1,0,0,1,0,1,1
1005,Seth was walking home from school one day.,0,1,0,0,1,0,0,0
1006,Suddenly he heard tires screeching behind him.,0,1,0,1,0,0,1,0
1007,Things went black and then he woke up in the hospital.,1,0,1,1,0,1,1,0
1008,He was sore all over but mostly okay.,1,1,1,1,1,1,1,1
1009,Luckily the driver who hit him had turned themselves in.,1,1,1,1,0,1,1,0
1010,Jim was headed south.,0,1,0,0,1,0,0,1
1011,He was going to see his family.,0,1,0,0,1,0,1,1
1012,"However, his car stopped.",1,1,1,1,0,1,1,0
1013,He did not know what to do.,0,1,0,1,0,1,1,0
1014,It turns out that his family would come to see him instead.,0,1,1,1,1,1,1,1
1015,Last night I tried cramming for a test.,1,1,1,1,1,1,1,1
1016,It was midnight and I was try to get work done.,1,1,1,1,0,1,0,1
1017,Unfortunately my eyes started closing.,1,1,1,1,1,1,1,1
1018,I was exhausted.,0,1,0,0,1,0,1,1
1019,When i woke up I was very unprepared.,1,0,1,1,0,1,1,0
1020,John is sleepy.,0,0,0,0,0,0,0,1
1021,He starts a pot of coffee.,0,1,0,0,1,0,0,1
1022,John puts cream and sugar in his cup and thermos.,0,1,0,1,1,1,1,1
1023,He then adds coffee to both.,0,1,0,0,1,0,0,1
1024,"After finishing the cup, he takes the thermos to work with him.",0,1,0,0,1,0,0,1
1025,Jake had wanted to climb the tower for a long time.,0,1,0,0,1,0,1,1
1026,"It had a bunch of stairs, but everyone said the view was great.",1,1,1,1,1,1,1,1
1027,He began his climb.,0,1,0,0,1,0,1,1
1028,Jake went up one hundred stories to the top.,0,1,0,1,1,0,1,1
1029,The view was incredible.,0,1,0,0,1,0,1,1
1030,Boris was taking martial arts classes.,0,1,0,0,1,0,0,1
1031,He had been training for only a few weeks.,0,0,0,0,0,0,0,0
1032,He told his instructor that he wanted to learn to use weapons.,0,1,0,1,1,0,1,1
1033,His instructor shook his head disappointingly.,1,0,0,1,0,1,1,1
1034,Boris didn't really understand the meaning behind martial arts.,0,1,1,0,0,1,1,0
1035,Tom was driving on the freeway.,0,1,0,1,1,0,0,1
1036,He noticed traffic slowed to a stop.,1,1,1,1,0,1,1,1
1037,Unfortunately the people behind him didn't notice.,1,1,1,1,0,1,1,0
1038,They slammed into other cars and caused a big pile up.,1,0,1,1,1,1,1,0
1039,Tom was stuck there for hours.,1,1,1,1,0,1,1,0
1040,I'm the type of person who get's mad and breaks things.,1,1,1,0,0,1,0,0
1041,"But after one particularly bad day, I threw my new phone.",1,1,1,1,0,1,0,0
1042,It hit our brick fireplace and broke.,1,0,1,1,0,1,1,1
1043,"I just spent $595, full price, for it.",1,0,0,0,0,1,1,0
1044,I have never broken anything in a fit of anger since then.,1,0,1,0,0,1,0,0
1045,My pastor brought a bowl of soup to me.,0,1,0,0,1,0,1,1
1046,He recommended that I should taste it.,0,1,0,0,1,0,1,1
1047,"When I ate a small amount of the soup, I asked what it's made of.",0,1,0,0,1,0,1,1
1048,He said that it's most made of crabs and turtles.,1,1,1,1,1,1,1,1
1049,I instantly threw up in the garbage can.,1,0,1,1,1,1,1,1
1050,My girlfriend and I went to the beach.,0,1,0,1,1,0,1,1
1051,"The beach was very, very crowded.",1,1,1,0,0,1,1,0
1052,We hemmed and hawed about staying or leaving.,0,1,0,0,1,1,1,0
1053,"She asked me what I thought, and I asked her what she thought.",1,1,1,1,1,1,1,1
1054,"We both agreed to leave, so we got in my car and went back home.",1,1,1,0,0,1,1,0
1055,Marianne woke up and felt numb one one side of her body.,1,1,0,1,0,0,1,0
1056,"Nervous, she looked on the Internet for the meaning of her sensation.",0,1,0,1,0,0,1,0
1057,"As she didn't find anything conclusive, she went to a doctor.",0,1,0,1,0,1,1,1
1058,The doctor said the nerves got pinched during the night.,0,1,1,1,1,1,1,1
1059,"And as he foresaw, the next day her body was back to normal.",0,1,0,1,1,0,1,1
1060,An artist was making an anime show.,0,1,0,1,1,0,0,1
1061,He was given a short deadline.,0,1,1,1,1,1,0,1
1062,The producers wanted the show out quickly.,0,1,0,1,1,1,1,0
1063,So he quickly made an episode in only one week.,1,1,1,1,1,1,1,1
1064,"Unsurprisingly, it had low quality.",1,1,1,1,0,1,1,0
1065,My son-in-law's aunt has an 8 year old boy.,0,0,0,0,0,0,0,0
1066,He wanted to sell lemonade.,0,1,0,0,1,0,0,0
1067,She wanted to help him.,0,1,0,0,1,0,1,1
1068,She bought a stand on Amazon for $99.,0,1,0,0,1,0,1,1
1069,I was highly amused.,1,1,1,0,1,1,1,1
1070,Travis was at a theme park.,0,1,0,0,1,0,1,1
1071,But he forgot his belt.,1,0,1,0,0,1,1,0
1072,"The whole day, he had to pick up his pants as they sagged.",1,0,0,1,0,1,0,0
1073,Travis had trouble enjoying his trip.,1,0,1,1,0,1,1,0
1074,But he felt relieved after finding a shop in the park with belts.,0,1,0,1,1,0,1,0
1075,"There was 3 seconds left, they were down by 2.",0,0,0,0,0,0,0,0
1076,Everyone knew It would take the shot.,0,0,0,0,0,0,0,0
1077,"So I got the ball, but he passed to Zach!",1,1,1,1,1,1,1,1
1078,Zach had to shoot the clock was running out!,0,1,0,1,1,0,1,1
1079,"He was so deep he shot a 3 pointer, he made it, they won!",0,1,0,0,1,0,1,1
1080,Christian purchased insurance through Nationwide.,0,1,0,0,1,0,1,1
1081,They sent him a Smartride device for his car.,0,1,0,1,1,0,1,1
1082,The device could determine if he was a good or bad driver.,0,1,0,1,0,0,1,0
1083,"Christian was a good driver, and got a discount on his insurance.",0,1,0,1,1,0,1,1
1084,Christian ended up saving 50 dollars a month thanks to Smart Ride.,1,1,1,1,1,1,1,1
1085,I went on amazing date with a man named Chris when I was 22.,0,1,0,0,1,0,0,0
1086,Chris got a job out of state and moved away two weeks later.,0,0,0,0,0,1,1,0
1087,"Seven years later, we ran into each other at a wedding.",0,1,0,1,1,0,1,1
1088,He asked me out and we went on our second date seven years later.,0,1,0,1,1,0,1,1
1089,We've been together ever since.,0,1,0,0,1,0,1,1
1090,Som needed to put a lawn in her front yard.,1,1,1,0,1,1,0,1
1091,First she pulled out the weeds and thorny plants.,1,1,1,0,0,1,0,0
